freedom tower,one world trade center,world trade center,one world trade,"pictures/freedom_tower.jpg"
empire state building,empire,empire state,the empire state building,"pictures/empire_state.jpg"
chrysler building,the chrysler building,chrysler,cheat,"pictures/chrysler_building.jpg"
statue of liberty,the statue of liberty, lady liberty,cheat,"pictures/statue_liberty.jpg"
new york stock exchange,nyse,the new york stock exchange,ny stock exchange,"pictures/nyse.jpg"
the bull,charging bull,wall street bull,broadway bull,"pictures/bull.jpg"
central park,the park,sheeps meadow,grassy green,"pictures/central_park.jpg"
times square,the square,times,cheat,"pictures/times_square.jpg"
flatiron building,the flatiron building,the best building in nyc,flatiron,"pictures/flatiron.jpg"
brooklyn bridge, brooklyn, bk bridge, cheat,"pictures/brooklyn_bridge.jpg"
subway,the subway,train,ny subway,"pictures/subway.jpg"
ellis island,the island,ellis,island,"pictures/ellis_island.jpg"
